iter	Passed	Remaining
1513	14687	43517
1514	14698	43514
1515	14708	43504
1516	14717	43494
1517	14726	43479
1518	14738	43476
1519	14748	43468
1520	14757	43457
1521	14766	43444
1522	14778	43443
1523	14787	43431
1524	14797	43421
1525	14807	43414
1526	14817	43405
1527	14827	43395
1528	14838	43390
1529	14847	43379
1530	14857	43370
1531	14867	43358
1532	14877	43352
1533	14886	43338
1534	14896	43331
1535	14905	43319
1536	14916	43312
1537	14924	43298
1538	14935	43292
1539	14943	43279
1540	14952	43266
1541	14961	43254
1542	14972	43249
1543	14982	43238
1544	14989	43222
1545	14998	43210
1546	15009	43204
1547	15018	43192
1548	15028	43183
1549	15038	43173
1550	15048	43167
1551	15057	43155
1552	15068	43149
1553	15078	43140
1554	15089	43133
1555	15098	43121
1556	15109	43116
1557	15118	43104
1558	15128	43096
1559	15136	43080
1560	15147	43074
1561	15154	43058
1562	15164	43049
1563	15173	43035
1564	15182	43024
1565	15191	43013
1566	15202	43008
1567	15212	42999
1568	15223	42993
1569	15233	42982
1570	15243	42974
1571	15253	42966
1572	15264	42960
1573	15274	42950
1574	15285	42944
1575	15295	42936
1576	15306	42928
1577	15314	42916
1578	15324	42907
1579	15333	42894
1580	15342	42884
1581	15352	42874
1582	15364	42870
1583	15374	42861
1584	15385	42855
1585	15395	42846
1586	15406	42840
1587	15415	42830
1588	15426	42823
1589	15434	42810
1590	15446	42806
1591	15456	42797
1592	15466	42786
1593	15474	42772
1594	15485	42766
1595	15494	42756
1596	15505	42750
1597	15514	42738
1598	15525	42732
1599	15535	42722
1600	15547	42717
1601	15555	42705
1602	15566	42699
1603	15575	42686
1604	15585	42677
1605	15593	42664
1606	15604	42656
1607	15613	42645
1608	15624	42639
1609	15634	42630
1610	15645	42623
1611	15654	42613
1612	15666	42608
1613	15674	42595
1614	15685	42589
1615	15694	42578
1616	15705	42571
1617	15715	42562
1618	15725	42554
1619	15734	42542
1620	15744	42531
1621	15753	42520
1622	15764	42513
1623	15772	42500
1624	15782	42492
1625	15792	42482
1626	15803	42476
1627	15811	42462
1628	15821	42453
1629	15830	42440
1630	15840	42431
1631	15848	42416
1632	15858	42409
1633	15866	42394
1634	15877	42387
1635	15885	42373
1636	15896	42366
1637	15905	42356
1638	15915	42347
1639	15924	42336
1640	15936	42331
1641	15945	42321
1642	15956	42315
1643	15964	42300
1644	15976	42295
1645	15984	42282
1646	15994	42274
1647	16004	42264
1648	16014	42256
1649	16023	42242
1650	16034	42236
1651	16044	42227
1652	16053	42216
1653	16060	42201
1654	16072	42196
1655	16082	42187
1656	16093	42182
1657	16103	42171
1658	16114	42166
1659	16124	42156
1660	16136	42152
1661	16144	42139
1662	16156	42133
1663	16164	42119
1664	16175	42115
1665	16186	42106
1666	16195	42096
1667	16205	42086
1668	16215	42079
1669	16224	42066
